min_mcap,max_roc,min_ebit,date,code,industry,roc,ey,market_cap_yi,ebit_yi,entry_date,entry_price,exit_date,final_close,max_high,max_ret_pct,final_ret_pct,bars_held
0,300,0,20260430,600894,运输设备,129.1,16.0,80.73910871999999,6.6,20260430,9.48,20260903,7.39,9.58,1.05,-22.05,86
0,300,0,20260430,688332,半导体,198.0,11.8,136.878957,15.1,20260430,113.5,20260903,97.33,162.42,43.1,-14.25,86
0,300,0,20260430,000719,出版业,98.4,17.3,137.31394312,12.6,20260430,13.42,20260903,12.04,14.47,7.82,-10.28,86
0,300,0,20260430,002758,批发业,83.3,37.7,47.52230891,13.8,20260430,9.16,20260903,8.84,9.45,3.17,-3.49,86
0,300,0,20260430,601098,出版业,90.1,19.0,204.2052,16.6,20260430,11.37,20260903,9.94,11.8,3.78,-12.58,86
0,300,0,20260430,002582,食品,85.5,21.1,56.18734032,11.4,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
0,300,0,20260430,600551,出版业,89.5,17.7,55.05808541,3.8,20260430,8.12,20260903,7.96,9.5,17.0,-1.97,86
0,300,0,20260430,002035,家用电器,199.6,10.8,49.926798100000006,3.5,20260430,5.89,20260903,4.59,5.95,1.02,-22.07,86
0,300,0,20260430,601369,机械基件,209.3,10.4,158.21495837,8.9,20260430,9.18,20260903,8.72,10.07,9.69,-5.01,76
0,300,0,20260430,002546,电气设备,190.4,10.6,68.55883569,6.9,20260430,8.22,20260903,7.98,9.08,10.46,-2.92,86
0,300,0,20260430,601083,水运,79.8,17.7,156.71793200000002,19.1,20260430,12.11,20260903,13.0,13.48,11.31,7.35,86
0,300,0,20260430,601117,建筑工程,72.6,29.0,525.17328993,82.5,20260430,8.6,20260903,7.42,8.68,0.93,-13.72,86
0,300,0,20260430,688819,电气设备,157.8,10.4,296.29607999999996,18.0,20260430,30.48,20260903,21.3,32.99,8.23,-30.12,86
0,300,0,20260430,688648,机床制造,89.8,13.4,67.4968,7.4,20260430,49.63,20260903,33.0,52.7,6.19,-33.51,86
0,300,1,20250930,002489,家居用品,259.0,9.5,79.81980032,5.8,20250930,3.68,20260213,3.63,4.19,13.86,-1.36,90
0,300,1,20250930,688648,机床制造,134.0,9.7,95.9208,8.2,20250930,70.53,20260213,60.97,73.09,3.63,-13.55,90
