date,type,code,industry,roc,ey,days,entry_date,entry_price,exit_date,final_close,max_high,max_ret_pct,final_ret_pct,bars_held
20260430,EY_Top20,002546,电气设备,190.4,10.6,60,20260430,8.22,20260729,8.53,8.9,8.27,3.77,60
20260430,EY_Top20,300662,文教休闲,32.9,10.4,60,20260430,24.34,20260729,20.28,25.58,5.09,-16.68,60
20260430,EY_Top20,002608,火力发电,13.7,10.3,60,20260430,7.62,20260729,7.3,11.13,46.06,-4.2,60
20260430,EY_Top20,301039,汽车整车,14.9,10.2,60,20260430,8.93,20260729,8.22,9.07,1.57,-7.95,60
20260430,EY_Top20,300979,服饰,38.7,10.0,60,20260430,38.13,20260729,36.1,39.5,3.59,-5.32,60
20260430,EY_Top20,002959,家用电器,110.6,9.9,60,20260430,41.28,20260729,33.98,41.28,0.0,-17.68,60
20260430,EY_Top20,002563,服饰,40.0,9.8,60,20260430,6.06,20260729,6.15,6.19,2.15,1.49,60
20260430,EY_Top20,002588,农药化肥,35.9,9.7,60,20260430,10.94,20260729,8.84,11.04,0.91,-19.2,60
20260430,EY_Top20,000656,全国地产,850.1,231.6,90,20260430,1.4,20260903,1.24,1.53,9.29,-11.43,85
20260430,EY_Top20,000404,家用电器,126.3,40.7,90,20260430,8.28,20260903,7.05,10.01,20.89,-14.86,86
20260430,EY_Top20,600710,商贸代理,54.4,37.0,90,20260430,12.22,20260903,10.4,12.99,6.3,-14.89,86
20260430,EY_Top20,002091,商贸代理,57.4,34.3,90,20260430,8.95,20260903,7.72,9.8,9.5,-13.74,86
20260430,EY_Top20,000913,摩托车,129.9,33.2,90,20260430,13.5,20260903,11.18,13.64,1.04,-17.19,86
20260430,EY_Top20,002668,家用电器,764.4,28.4,90,20260430,9.55,20260903,9.37,11.36,18.95,-1.88,86
20260430,EY_Top20,002582,食品,85.5,21.1,90,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
20260430,EY_Top20,002612,服饰,194.2,15.3,90,20260430,16.09,20260903,16.1,17.2,6.9,0.06,86
20260430,EY_Top20,002697,超市连锁,204.8,13.8,90,20260430,5.2,20260903,4.78,5.23,0.58,-8.08,86
20260430,EY_Top20,300360,电器仪表,78.2,13.1,90,20260430,14.47,20260903,11.44,15.24,5.32,-20.94,86
20260430,EY_Top20,002705,家用电器,31.8,12.6,90,20260430,15.13,20260903,10.97,15.12,-0.07,-27.5,86
20260430,EY_Top20,300641,化工原料,70.4,11.2,90,20260430,17.5,20260903,14.09,19.97,14.11,-19.49,86
20260430,EY_Top20,002546,电气设备,190.4,10.6,90,20260430,8.22,20260903,7.98,9.08,10.46,-2.92,86
20260430,EY_Top20,300662,文教休闲,32.9,10.4,90,20260430,24.34,20260903,21.0,25.58,5.09,-13.72,86
20260430,EY_Top20,002608,火力发电,13.7,10.3,90,20260430,7.62,20260903,7.17,11.13,46.06,-5.91,86
20260430,EY_Top20,301039,汽车整车,14.9,10.2,90,20260430,8.93,20260903,7.78,9.07,1.57,-12.88,86
20260430,EY_Top20,300979,服饰,38.7,10.0,90,20260430,38.13,20260903,32.5,39.5,3.59,-14.77,86
20260430,EY_Top20,002959,家用电器,110.6,9.9,90,20260430,41.28,20260903,32.33,41.28,0.0,-21.68,86
20260430,EY_Top20,002563,服饰,40.0,9.8,90,20260430,6.06,20260903,5.83,6.47,6.77,-3.8,86
20260430,EY_Top20,002588,农药化肥,35.9,9.7,90,20260430,10.94,20260903,7.97,11.04,0.91,-27.15,86
20260430,EY_Top20,000656,全国地产,850.1,231.6,120,20260430,1.4,20260903,1.24,1.53,9.29,-11.43,85
20260430,EY_Top20,000404,家用电器,126.3,40.7,120,20260430,8.28,20260903,7.05,10.01,20.89,-14.86,86
20260430,EY_Top20,600710,商贸代理,54.4,37.0,120,20260430,12.22,20260903,10.4,12.99,6.3,-14.89,86
20260430,EY_Top20,002091,商贸代理,57.4,34.3,120,20260430,8.95,20260903,7.72,9.8,9.5,-13.74,86
20260430,EY_Top20,000913,摩托车,129.9,33.2,120,20260430,13.5,20260903,11.18,13.64,1.04,-17.19,86
20260430,EY_Top20,002668,家用电器,764.4,28.4,120,20260430,9.55,20260903,9.37,11.36,18.95,-1.88,86
20260430,EY_Top20,002582,食品,85.5,21.1,120,20260430,12.55,20260903,10.19,12.95,3.19,-18.8,86
20260430,EY_Top20,002612,服饰,194.2,15.3,120,20260430,16.09,20260903,16.1,17.2,6.9,0.06,86
20260430,EY_Top20,002697,超市连锁,204.8,13.8,120,20260430,5.2,20260903,4.78,5.23,0.58,-8.08,86
20260430,EY_Top20,300360,电器仪表,78.2,13.1,120,20260430,14.47,20260903,11.44,15.24,5.32,-20.94,86
20260430,EY_Top20,002705,家用电器,31.8,12.6,120,20260430,15.13,20260903,10.97,15.12,-0.07,-27.5,86
20260430,EY_Top20,300641,化工原料,70.4,11.2,120,20260430,17.5,20260903,14.09,19.97,14.11,-19.49,86
20260430,EY_Top20,002546,电气设备,190.4,10.6,120,20260430,8.22,20260903,7.98,9.08,10.46,-2.92,86
20260430,EY_Top20,300662,文教休闲,32.9,10.4,120,20260430,24.34,20260903,21.0,25.58,5.09,-13.72,86
20260430,EY_Top20,002608,火力发电,13.7,10.3,120,20260430,7.62,20260903,7.17,11.13,46.06,-5.91,86
20260430,EY_Top20,301039,汽车整车,14.9,10.2,120,20260430,8.93,20260903,7.78,9.07,1.57,-12.88,86
20260430,EY_Top20,300979,服饰,38.7,10.0,120,20260430,38.13,20260903,32.5,39.5,3.59,-14.77,86
20260430,EY_Top20,002959,家用电器,110.6,9.9,120,20260430,41.28,20260903,32.33,41.28,0.0,-21.68,86
20260430,EY_Top20,002563,服饰,40.0,9.8,120,20260430,6.06,20260903,5.83,6.47,6.77,-3.8,86
20260430,EY_Top20,002588,农药化肥,35.9,9.7,120,20260430,10.94,20260903,7.97,11.04,0.91,-27.15,86
20260430,ROC_Top20,600777,石油开采,84826.9,4.2,60,20260430,6.01,20260730,4.16,6.08,1.16,-30.78,60
20260430,ROC_Top20,000752,啤酒,5232.4,17.3,60,20260430,10.0,20260729,8.01,10.02,0.2,-19.9,60
20260430,ROC_Top20,603173,机械基件,5139.7,10.0,60,20260430,38.9,20260729,31.85,40.2,3.34,-18.12,60
20260430,ROC_Top20,603000,互联网,3924.1,1.3,60,20260430,18.98,20260729,15.89,20.55,8.27,-16.28,60
20260430,ROC_Top20,603551,家居用品,3825.8,8.9,60,20260430,12.2,20260729,9.21,12.43,1.89,-24.51,60
20260430,ROC_Top20,603766,摩托车,2735.9,7.9,60,20260430,15.36,20260729,14.51,15.7,2.21,-5.53,60
20260430,ROC_Top20,002209,轻工机械,1585.1,5.7,60,20260430,15.06,20260729,10.66,15.06,0.0,-29.22,60
20260430,ROC_Top20,601789,建筑工程,1568.4,4.3,60,20260430,5.89,20260729,4.37,6.5,10.36,-25.81,60
20260430,ROC_Top20,603288,食品,1538.1,3.9,60,20260430,38.64,20260729,37.64,39.06,1.09,-2.59,60
20260430,ROC_Top20,600573,啤酒,1335.7,2.5,60,20260430,13.74,20260729,9.67,14.5,5.53,-29.62,60
20260430,ROC_Top20,601107,路桥,1313.8,4.6,60,20260430,6.13,20260729,5.75,6.5,6.04,-6.2,60
20260430,ROC_Top20,600826,文教休闲,1139.8,8.8,60,20260430,9.57,20260729,7.74,10.48,9.51,-19.12,60
20260430,ROC_Top20,000656,全国地产,850.1,231.6,60,20260430,1.4,20260730,1.19,1.53,9.29,-15.0,60
